KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
TCKT,,12211,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ,2023-07-26 00:00:00.0000000,,,
SME,HUY_DONG,12211,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,52141,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC PHAT SINH TU UPAS LC - TRA CHAM,,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc phát sinh từ UPAS LC - Trả chậm,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,52141,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC PHAT SINH TU UPAS LC - TRA CHAM,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc phát sinh từ UPAS LC - Trả chậm,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,12211,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TOAN_HANG,,12211,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ,2021-01-01 00:00:00.0000000,,,
INDIV,DU NO,21114,CV SXKD,CHO VAY SAN XUAT KINH DOANH THONG THUONG CO TSDB,CHO VAY BO SUNG VON LUU DONG ,CHO VAY BO SUNG VLD THEO HAN MUC,Cho vay sản xuất kinh doanh,Cho vay sản xuất kinh doanh thông thường có TSĐB,Cho vay bổ sung vốn lưu động ,Cho vay bổ sung VLĐ theo hạn mức,2022-03-09 00:00:00.0000000,CV SXKD,INDIV,CV SXKD
TCKT,,21114,CHO VAY,,,,Cho vay,SXKD,CV SXKD quay vòng,Cho vay bổ sung VLĐ theo hạn mức,2023-07-26 00:00:00.0000000,,,
TCKT,,15263,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Thu hộ tiền truyền hình cab qua nhân viên địa bàn Viettel,2023-07-26 00:00:00.0000000,,,
TCKT,,11131,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Tài khoản MB VIP,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,11131,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản MB VIP,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản MB VIP,2021-01-01 00:00:00.0000000,,,
